nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
PS. Cibogo,Ciliwung,-6.657083,106.878083,2019-04-07 18:20:00,330,Status : Normal
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2019-04-30 23:30:00,250,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2019-04-30 23:17:04,7300,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2019-04-30 23:15:25,1000,Status : Normal
Pompa Cideng,Krukut,-6.173271,106.806351,2019-04-30 23:40:00,210,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2019-04-30 23:50:00,3990,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2019-04-30 23:40:00,1950,Status : Siaga 3
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2019-04-30 23:13:42,1920,Status : Siaga 3
P.A. Pluit,Waduk Pluit,-6.10907603055,106.796648987,2019-04-30 23:30:00,-1750,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,2019-04-30 21:19:13,7150,Status : Siaga 1
PS. Angke Hulu,Angke,-6.220047,106.694137,2019-04-30 23:17:28,1650,Status : Siaga 3
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,2019-04-30 08:50:00,300,Status : Normal
PS. Sunter Hulu,Sunter,,,2019-04-30 22:38:53,1800,Status : Siaga 3
PA. Pulo Gadung,Sunter,-6.191,106.904194,2019-04-30 23:50:00,5280,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2019-04-30 23:40:00,890,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2019-04-30 20:03:26,1250,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2019-04-30 23:17:28,1650,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2019-04-30 23:40:00,2200,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2019-04-30 23:40:00,1840,Status : Siaga 2
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,2019-04-30 23:40:00,1870,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2019-04-30 23:40:00,2030,Status : Siaga 2
PS. Cibogo,Ciliwung,-6.657083,106.878083,2019-04-07 18:20:00,330,Status : Normal
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2019-05-01 00:10:00,230,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2019-04-30 23:17:04,7300,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2019-04-30 23:15:25,1000,Status : Normal
Pompa Cideng,Krukut,-6.173271,106.806351,2019-05-01 00:10:00,220,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2019-05-01 00:10:00,4180,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2019-05-01 00:10:00,1990,Status : Siaga 3
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2019-04-30 23:13:42,1920,Status : Siaga 3
P.A. Pluit,Waduk Pluit,-6.10907603055,106.796648987,2019-05-01 00:10:00,-1760,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,2019-04-30 21:19:13,7150,Status : Siaga 1
PS. Angke Hulu,Angke,-6.220047,106.694137,2019-04-30 23:17:28,1650,Status : Siaga 3
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,2019-04-30 08:50:00,300,Status : Normal
PS. Sunter Hulu,Sunter,,,2019-04-30 22:38:53,1800,Status : Siaga 3
PA. Pulo Gadung,Sunter,-6.191,106.904194,2019-05-01 00:10:00,5210,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2019-05-01 00:10:00,880,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2019-04-30 20:03:26,1250,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2019-04-30 23:17:28,1650,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2019-05-01 00:10:00,2200,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2019-05-01 00:10:00,1820,Status : Siaga 2
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,2019-05-01 00:10:00,1880,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2019-05-01 00:00:00,2020,Status : Siaga 2
PS. Cibogo,Ciliwung,-6.657083,106.878083,2019-04-07 18:20:00,330,Status : Normal
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2019-05-01 00:40:00,230,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2019-05-01 00:11:45,7300,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2019-05-01 00:11:36,1000,Status : Normal
Pompa Cideng,Krukut,-6.173271,106.806351,2019-05-01 00:40:00,230,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2019-05-01 00:40:00,4040,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2019-05-01 00:40:00,1990,Status : Siaga 3
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2019-05-01 00:07:51,1920,Status : Siaga 3
P.A. Pluit,Waduk Pluit,-6.10907603055,106.796648987,2019-05-01 00:40:00,-1770,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,2019-05-01 00:10:07,1750,Status : Siaga 3
PS. Angke Hulu,Angke,-6.220047,106.694137,2019-04-30 23:17:28,1650,Status : Siaga 3
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,2019-04-30 08:50:00,300,Status : Normal
PS. Sunter Hulu,Sunter,,,2019-04-30 22:38:53,1800,Status : Siaga 3
PA. Pulo Gadung,Sunter,-6.191,106.904194,2019-05-01 00:40:00,5170,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2019-05-01 00:40:00,850,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2019-04-30 20:03:26,1250,Status : Normal
