nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
PA. Cibalok - Gadog,Ciliwung,-6.657083,106.878083,2019-10-31 23:40:00,230,Status : Normal
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2019-10-31 23:30:00,90,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2019-10-31 23:40:00,880,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2019-10-31 23:40:00,5420,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2019-10-31 23:40:00,310,Status : Normal
Pompa Cideng,Krukut,-6.173271,106.806351,2019-10-31 23:40:00,190,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2019-10-31 23:40:00,2400,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2019-10-31 23:40:00,1320,Status : Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2019-10-31 23:40:00,1310,Status : Normal
P.A. Pluit,Waduk Pluit,-6.109642,106.796954,2019-10-31 23:40:00,-2020,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2019-10-31 23:30:00,470,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2019-10-31 23:40:00,380,Status : Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,2019-10-27 22:45:00,-650,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2019-10-31 21:00:14,400,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2019-10-31 23:40:00,3360,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2019-10-31 23:40:00,0,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2019-10-31 23:40:00,400,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2019-10-31 23:40:00,1780,Status : Normal
