nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2021-09-30 23:50:00,50,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2021-09-30 23:50:00,290,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2021-09-30 23:50:00,1350,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2021-09-30 23:50:00,6220,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2021-09-30 23:50:00,290,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2021-09-30 23:40:00,640,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2021-09-30 23:50:00,3150,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2021-09-30 23:50:00,1630,Status : Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2021-09-30 23:50:00,1620,Status : Normal
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2021-09-30 23:40:00,-1690,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2021-09-30 23:50:00,790,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2021-09-30 23:50:00,500,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2021-09-30 23:50:00,1080,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2021-09-30 23:50:00,3970,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2021-09-30 23:50:00,810,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2021-09-30 23:50:00,1540,Status : Siaga 3
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2021-09-30 23:50:00,1910,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2021-09-30 23:50:00,1520,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2021-09-30 23:50:00,1200,Status : Normal
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2021-09-30 23:50:00,1550,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2021-09-30 23:50:00,2000,Status : Siaga 3
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2021-10-01 00:20:00,50,Status : Normal
