Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-11-2019,27,34.4,28.3,75,0,7.8,5,280,2,C 
02-11-2019,25,33.4,28.9,68,1,5.5,5,200,1,C 
03-11-2019,25,32.8,29.1,70,0.2,6,4,290,1,C 
04-11-2019,27,33.8,29.6,68,0,7,5,310,2,C 
05-11-2019,27,33.4,29.7,69,1.6,4.3,4,300,1,C 
06-11-2019,25,33.6,29.2,74,33,7,5,270,2,C 
07-11-2019,25,33,28.7,69,0,6.5,4,200,1,C 
08-11-2019,26,32.8,28.8,68,0,8,5,290,2,C 
09-11-2019,26,34.2,29.8,65,0,8.7,5,280,2,C 
10-11-2019,26,32.8,29.4,72,0,8.5,5,300,1,C 
11-11-2019,27,33.6,30.1,63,0,5.2,4,200,1,C 
12-11-2019,26,33,29.9,71,0,7,4,340,1,C 
13-11-2019,27,34.4,30.1,70,8888,3,3,60,1,C 
14-11-2019,28,30.6,28.5,77,0,1.2,5,80,1,C 
15-11-2019,26,34.6,29.9,70,1,0.5,5,360,2,C 
16-11-2019,27,34,30.4,66,0,8.8,4,270,1,C 
17-11-2019,27,33.8,30.3,62,0,8,3,230,1,C 
18-11-2019,25,34.2,29.7,71,,8,4,40,1,C 
19-11-2019,27,33,29.7,70,0,5.2,4,100,1,C 
20-11-2019,25,33.4,29.8,70,,8,5,310,2,C 
21-11-2019,27,32.4,28.8,77,0,7.8,8,320,2,C 
22-11-2019,27,32.4,29.6,74,0,5.3,4,320,1,C 
23-11-2019,27,32.6,29.8,73,0,3.2,5,330,1,C 
24-11-2019,27,33.4,29.9,71,0,2.5,3,350,1,C 
25-11-2019,27,32.8,29.4,77,1.6,7,5,330,1,C 
26-11-2019,27,32.8,29.9,76,8888,3.3,6,310,1,C 
27-11-2019,28,32.4,30.1,73,0,6.4,4,310,2,C 
28-11-2019,27,33.8,30.2,74,0,3,7,320,2,C 
29-11-2019,27,33,29.7,73,1.8,7,4,190,1,C 
30-11-2019,25,32.4,29.2,74,9.9,3.5,3,300,1,C 
01-12-2019,26,33.8,29.9,76,8.5,5.5,4,320,1,C 
