Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2019,24,30.6,26,84,8.5,5.5,4,240,2,SW
02-01-2019,24.2,33,28.3,75,2.3,1.2,5,290,2,W 
03-01-2019,24.6,33.4,28.3,74,0.4,4.6,5,280,2,W 
04-01-2019,24.8,34,29.3,67,0,6,7,250,3,W 
05-01-2019,26.4,33.4,28.9,71,0,8.8,5,280,1,C 
06-01-2019,26.6,32.6,29.4,72,8888,4.3,4,340,1,C 
07-01-2019,27.4,33.4,29.7,77,0,8,5,270,2,C 
08-01-2019,25,32,28.2,80,9.6,7.9,5,300,2,C 
09-01-2019,26,32.4,28.9,80,3,5.2,5,290,2,C 
10-01-2019,24,32.4,27.7,83,70.4,3.6,4,310,1,C 
11-01-2019,25,31.6,29,79,2,5.5,3,310,1,C 
12-01-2019,23.6,32,28.6,80,17,8,6,260,2,C 
13-01-2019,25,32.2,28.1,81,3,5.4,3,170,1,C 
14-01-2019,23,29.8,27.4,78,5.2,1,4,320,1,C 
15-01-2019,26,32,28.5,79,1.6,0.7,4,290,2,W 
16-01-2019,26.2,29.4,27.9,81,0,1.5,3,300,1,C 
17-01-2019,26,32,28.3,78,2.3,0,4,260,2,C 
18-01-2019,26,31.4,28,78,0,2.3,3,290,2,C 
19-01-2019,24.6,30.6,27.5,81,17.6,2,5,280,1,C 
20-01-2019,25.8,30.8,28.3,78,1.5,1,4,300,2,C 
21-01-2019,26,30.4,27.6,84,3,3,3,270,1,W 
22-01-2019,24.6,29.3,26.1,89,5.6,0.1,6,280,1,C 
23-01-2019,24,31.6,27.5,80,26.9,0,4,290,1,C 
24-01-2019,24.6,31,27.5,82,7,1,7,280,3,NW
25-01-2019,24,29.4,26.3,87,45.1,6.7,3,310,1,C 
26-01-2019,24.6,30.4,27.9,83,36.6,0,6,290,2,W 
27-01-2019,24.6,28.8,27.4,86,11,3.4,5,300,1,C 
28-01-2019,25.8,30.4,28.1,80,14,0,4,220,2,C 
29-01-2019,23.8,30.4,27.8,80,1.4,1,5,300,1,C 
30-01-2019,23.8,31,27.3,86,86.6,5,4,310,1,C 
31-01-2019,25,31,26.8,86,0.6,5.3,5,270,2,W 
01-02-2019,25,31,27,83,8.1,3.5,3,260,1,C 
