Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-08-2020,24.6,32.2,27.7,69,,5.2,7,350,1,C 
02-08-2020,24,31.8,28.2,69,,6.1,5,330,2,C 
03-08-2020,26,34,29.5,69,0,6.2,5,140,2,C 
04-08-2020,27.6,32.8,29.5,70,0,6.4,4,90,2,C 
05-08-2020,,31.4,28.5,73,,0.4,5,320,1,C 
06-08-2020,25,33,29.1,73,,2.6,3,90,1,C 
07-08-2020,26.6,32,28.8,77,0,6.2,5,300,1,C 
08-08-2020,,32,29.3,75,0,5.2,4,300,1,C 
09-08-2020,25.8,32.2,28.6,80,32,4,7,80,2,C 
10-08-2020,26,33.4,29,78,0.5,4.5,6,150,2,C 
11-08-2020,27,33,29.2,74,0,6.6,6,90,1,C 
12-08-2020,27,32.8,29,74,8888,3.6,4,110,2,C 
13-08-2020,27.2,30.4,27.1,83,,1.5,5,360,1,C 
14-08-2020,24.2,31.4,27.5,82,68.3,1.6,4,90,1,C 
15-08-2020,25.4,32.4,28.5,79,,2,3,50,1,C 
16-08-2020,26.2,33.4,29.1,75,0,6.8,4,100,1,C 
17-08-2020,26.4,33.6,29.4,71,,6.5,5,290,1,C 
18-08-2020,26,32.2,28.3,77,0.2,7,7,320,1,C 
19-08-2020,25.8,33.8,29,75,0,3.6,3,120,1,C 
20-08-2020,26.2,32.6,29.3,75,0,6.8,4,90,2,E 
21-08-2020,26,33,29,68,,6,6,140,2,C 
22-08-2020,25.4,34,29,64,0,7.4,4,70,1,C 
23-08-2020,26,34.8,29.5,66,0,7.6,5,20,2,C 
24-08-2020,27,33.8,29.5,68,0,7.2,4,100,2,E 
25-08-2020,25.6,34,29,64,,6,5,130,1,C 
26-08-2020,26,33.8,29.1,67,0,7.4,4,340,1,C 
27-08-2020,25.8,34,29,64,,6.5,8,340,2,C 
28-08-2020,26.2,34.4,29.3,64,0,7.3,4,100,1,C 
29-08-2020,26.4,34.4,29.9,64,0,7.4,4,80,1,C 
30-08-2020,26.4,33.8,29.2,68,,5.2,7,320,2,C 
31-08-2020,26.8,33,29.3,68,0,7.3,4,300,1,C 
01-09-2020,26.6,35,29.9,61,0,7.5,5,170,1,C 
