Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-04-2020,25.2,31.8,28.1,80,21.5,6.4,5,310,1,C 
02-04-2020,25.6,33.8,29.8,73,0,5,7,320,2,C 
03-04-2020,27,33.6,29.3,77,0.1,6.6,4,290,1,C 
04-04-2020,26,32,28.9,81,5.5,5.9,4,330,1,C 
05-04-2020,27,32,28.5,79,8888,5.5,5,320,1,C 
06-04-2020,26.8,32.6,27.3,86,0,3,4,300,1,C 
07-04-2020,25.6,32.6,28.6,77,30.6,1,6,280,1,C 
08-04-2020,26,32,28.8,78,,5.2,9,320,3,C 
09-04-2020,27,31,28.9,81,0.3,6.7,4,290,1,C 
10-04-2020,26.4,32.2,28.3,83,8888,1.2,4,320,1,C 
11-04-2020,26,34.2,29.4,78,13.8,3.6,7,310,2,C 
12-04-2020,26.4,32.6,29.6,77,,3.2,8,350,2,C 
13-04-2020,25.8,32,27.7,90,14.5,6,4,320,1,C 
14-04-2020,25.6,32,28,85,72,4,8,300,2,C 
15-04-2020,25.8,31.4,28.1,86,5.4,5.4,6,320,2,C 
16-04-2020,26,32.4,29,80,,1.1,5,330,1,C 
17-04-2020,26.6,33,29.7,76,,6.5,4,20,1,C 
18-04-2020,26.2,32.6,28.7,77,0,7,5,330,1,C 
19-04-2020,26.4,34,29.6,76,,6,6,120,2,C 
20-04-2020,27,33.6,30,78,0,6,7,310,2,C 
21-04-2020,28,32.6,30,76,,6.9,4,220,1,C 
22-04-2020,26,34.8,30.4,70,,1,3,350,1,C 
23-04-2020,27.4,34.8,30.8,73,,6.5,7,80,2,C 
24-04-2020,27,33,29.3,77,,6.8,6,20,1,C 
25-04-2020,26.4,32.6,29.1,74,,4.6,3,120,1,C 
26-04-2020,26.4,33.4,29.4,77,,1.5,5,190,2,C 
27-04-2020,25,32,27.7,84,13.5,5,3,240,1,C 
28-04-2020,25.8,31.2,27.8,82,1.2,2.2,8,330,1,C 
29-04-2020,25.6,32.2,28.3,78,4.4,0.3,4,120,1,C 
30-04-2020,,31.8,28.6,82,,5.5,3,330,1,C 
01-05-2020,26.4,31.6,28.8,80,,0.5,4,250,2,E 
