Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-12-2020,26.2,34,29.4,70,8888,1,7,250,2,C 
02-12-2020,,33.8,29.4,70,,5,6,330,2,NW
03-12-2020,24.4,30.4,26.9,79,5,7.5,4,320,1,C 
04-12-2020,24.4,32.4,27.8,80,1.4,0.3,4,310,1,C 
05-12-2020,26,30.2,27.5,80,14.4,4,6,270,2,C 
06-12-2020,25,28.6,26,90,32.5,0.5,7,320,3,W 
07-12-2020,24.2,30.2,26.1,88,34.8,0,3,320,1,C 
08-12-2020,24.4,32.2,28.4,78,7.2,0.2,4,340,2,W 
09-12-2020,25.6,32.2,28.9,75,9.3,6.2,10,270,2,C 
10-12-2020,25,32,27.8,80,,3.5,7,330,2,NW
11-12-2020,26,30.4,28.1,80,0.4,2,8,320,3,W 
12-12-2020,25.4,32.2,27.7,78,4.8,3.3,4,300,2,W 
13-12-2020,25.6,30.2,27,83,8888,2,4,270,1,C 
14-12-2020,25,32.2,28,76,8888,8,5,250,2,W 
15-12-2020,25.8,32.6,27.7,78,,0.4,9,270,4,W 
16-12-2020,25.4,32.2,28.1,76,9,1.8,4,340,2,W 
17-12-2020,24.8,31.8,27.5,79,6,2.2,5,260,2,W 
18-12-2020,25,31.8,28.3,74,,2.4,4,260,1,C 
19-12-2020,25.4,32.8,28.2,74,,2,6,270,3,SW
20-12-2020,25.8,30.8,27.2,81,8888,4.6,5,270,2,W 
21-12-2020,24.8,29.6,27.4,76,4.2,2.4,5,290,2,C 
22-12-2020,25.6,31.6,28.6,73,8888,0.8,4,280,2,W 
23-12-2020,25.6,34.8,29.6,65,0,2,7,280,2,W 
24-12-2020,26.4,33.4,28.9,68,0,7,5,300,2,C 
25-12-2020,25.8,34.2,29.3,67,8888,4.5,6,270,1,C 
26-12-2020,,34.4,28.9,70,0.7,6.5,7,270,3,W 
27-12-2020,25.6,32.4,29.4,70,8888,4.8,6,330,3,NW
28-12-2020,26.4,33,29.1,70,,7,4,310,3,W 
29-12-2020,26.4,32,28.3,73,0,5.3,9,290,2,C 
30-12-2020,25.6,32.6,28,75,,1.5,5,270,2,W 
31-12-2020,25.6,30.2,26.5,83,5,0.2,4,240,1,C 
01-01-2021,25,30,27,80,13.8,0,4,310,1,C 
