Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-02-2020,24.8,27.6,26.1,92,48.5,0,2,100,1,C 
02-02-2020,24.6,30.2,26.8,88,128.9,0,4,320,1,C 
03-02-2020,24.6,29,27,87,16.6,2.4,4,310,1,C 
04-02-2020,24.8,,27,86,20.9,0.8,6,270,2,C 
05-02-2020,26,29.6,27.8,84,0.5,1.5,3,270,0,C 
06-02-2020,25.4,28.8,26.7,89,6.6,2,3,310,1,C 
07-02-2020,25.8,29.8,26.6,90,0.6,0,5,320,2,NW
08-02-2020,24,30.4,26.7,86,125.2,0.4,4,280,1,C 
09-02-2020,24,31,26.4,85,9,4,4,140,1,C 
10-02-2020,24.4,34.6,29.1,76,18.6,1,5,330,2,C 
11-02-2020,26,34.4,29.9,72,,8,6,270,2,C 
12-02-2020,27,33.6,29.5,74,0,6,5,280,1,C 
13-02-2020,26,31.8,28.6,77,,5.6,3,200,1,C 
14-02-2020,,29.8,27.6,84,,2,4,320,1,C 
15-02-2020,26,31.8,28.3,83,4.7,0.3,8,300,1,C 
16-02-2020,26,31.4,27.4,85,,5.2,6,270,2,C 
17-02-2020,25.4,32,,,26.5,1.6,3,170,1,C 
18-02-2020,25,30.2,27.6,84,7.2,1,6,270,1,C 
19-02-2020,25.2,29.8,27.5,83,17.7,4.4,6,310,2,NW
20-02-2020,24.8,30.8,27.1,87,31,2.2,8,290,2,W 
21-02-2020,24.8,31.8,28,82,57,2.5,6,300,2,C 
22-02-2020,24.6,31.2,28.1,84,56.8,5.6,5,290,2,C 
23-02-2020,25.6,31,28.3,84,125.7,7.4,5,320,3,NW
24-02-2020,26.4,31,28.6,81,6.6,6.2,8,270,2,W 
25-02-2020,24.6,29.8,27.1,88,277.5,2.9,3,330,1,C 
26-02-2020,25,31.4,28.6,80,3,0.5,4,330,1,C 
27-02-2020,25.4,30.6,,,22,6,6,270,2,C 
28-02-2020,25,31,27.4,88,31.5,0,6,300,2,C 
29-02-2020,25.2,28.6,27.3,91,0.6,2.5,4,260,1,C 
01-03-2020,25.6,31.8,27.7,89,12,0,6,320,2,NW
