Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2020,25,28.8,26.8,90,145.3,4.5,3,290,1,C 
02-01-2020,25,30.8,27.6,80,58.8,0,4,250,2,C 
03-01-2020,25.4,31,28.5,77,,3,5,290,2,C 
04-01-2020,25.6,31.2,28.3,82,2.5,0,6,330,2,C 
05-01-2020,26.8,29.6,27.9,85,0.2,0.4,5,320,1,C 
06-01-2020,25,30,27,87,18.2,0,5,23,1,C 
07-01-2020,25.2,30,26.9,89,15,1.2,4,320,1,C 
08-01-2020,25,30.8,28.2,80,2.8,2.5,5,280,1,C 
09-01-2020,25,31,27.7,85,28.7,0,5,310,2,W 
10-01-2020,24.4,29.2,25.9,90,23.6,0,4,310,1,C 
11-01-2020,24.6,30,26.5,87,20.4,0,5,290,2,W 
12-01-2020,25.2,31.4,27.9,80,4.3,0.5,4,230,1,C 
13-01-2020,25.4,30.6,27.5,82,1.5,6,3,270,1,C 
14-01-2020,26,32,28.5,80,0.5,1,7,350,3,NW
15-01-2020,25.6,31,27.9,82,33.8,7.8,4,320,1,C 
16-01-2020,25.6,31,28.2,83,0,3.2,6,310,2,C 
17-01-2020,26.4,32,28.4,82,8888,2.2,5,270,2,C 
18-01-2020,24,30.6,27.5,81,78.5,6,3,290,1,C 
19-01-2020,25,32,28.1,78,3.8,2,4,320,1,C 
20-01-2020,25.8,30.4,28.4,83,,8.8,4,330,2,NW
21-01-2020,26.4,31.2,28.6,82,2.4,2.4,5,330,1,C 
22-01-2020,26.8,34.4,29,80,0.3,4.2,5,330,1,C 
23-01-2020,25.4,33.8,28.3,83,74,4,5,340,1,C 
24-01-2020,26,27.4,26.8,92,7.8,4.7,2,118,0,C 
25-01-2020,25.8,29.6,27.1,89,123.7,0,4,330,1,C 
26-01-2020,25.8,31.6,28.2,84,7.4,0.5,5,330,2,C 
27-01-2020,25.8,31.6,28.3,80,12.3,7,5,300,1,C 
28-01-2020,25.8,31.8,29,76,4.2,,4,300,2,C 
29-01-2020,27.2,32.4,29.5,80,0,6.6,6,340,3,NW
30-01-2020,24.4,31,27.4,82,22,6.5,4,310,1,C 
31-01-2020,25,30,28.3,84,,2.6,6,270,2,C 
01-02-2020,24.8,27.6,26.1,92,48.5,0,2,100,1,C 
