Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-07-2020,26.6,34.2,29.8,70,0,6.5,3,150,1,C 
02-07-2020,26.4,31,27.3,81,,6,4,290,1,C 
03-07-2020,,32,28.5,74,,1.5,3,340,1,C 
04-07-2020,,32.6,29.1,73,,1,5,310,1,C 
05-07-2020,25,32.4,28.5,69,,0.4,4,130,1,C 
06-07-2020,25.8,33,29,66,0,6.7,3,100,1,C 
07-07-2020,24.2,33.2,28.3,75,,6,4,90,1,E 
08-07-2020,25.4,32.2,29,73,,5.2,5,270,2,C 
09-07-2020,25,32,27.8,77,,4.5,5,330,2,C 
10-07-2020,25.2,,27.7,79,9,3.6,3,150,1,C 
11-07-2020,25.4,32.6,28.3,80,1.9,1.2,4,330,1,C 
12-07-2020,26,31.8,28.8,77,,6,7,200,1,C 
13-07-2020,26,32.4,29.1,72,,3.5,4,120,2,C 
14-07-2020,27.2,32.6,29.4,74,0,3.3,5,160,1,C 
15-07-2020,25.4,30,27.3,82,,2,5,110,3,E 
16-07-2020,25.6,31,28.4,79,0.2,3.2,5,80,2,C 
17-07-2020,25,33,28.6,77,1,0,6,320,2,C 
18-07-2020,26,32.6,28.8,74,0,6.4,4,120,1,C 
19-07-2020,26,32.6,29,73,,6,4,360,1,C 
20-07-2020,26.4,32.6,29.2,74,0,5.4,5,80,1,C 
21-07-2020,27,32.2,28.9,74,0,6,6,320,2,C 
22-07-2020,27,33,29.4,72,0,6,7,60,2,C 
23-07-2020,27.2,33,29.4,70,0,5.6,4,30,2,C 
24-07-2020,26.2,33.4,29.2,71,,6,5,190,1,C 
25-07-2020,25,32.4,28.7,72,,5.6,4,320,1,C 
26-07-2020,25.8,32.8,28.4,64,0,5,5,170,2,C 
27-07-2020,25,33.2,28.4,65,0,6.4,3,70,1,C 
28-07-2020,25.2,33.2,28.4,68,,6.2,5,350,2,C 
29-07-2020,24.6,33,28.3,67,,6.2,8,320,2,C 
30-07-2020,26,31.4,28.2,70,0,6.3,4,130,1,C 
31-07-2020,25.2,32.2,28,60,0,4.5,3,70,1,C 
01-08-2020,24.6,32.2,27.7,69,,5.2,7,350,1,C 
