Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-06-2020,26.2,33.4,30.3,73,0.6,4,4,60,2,C 
02-06-2020,26.6,34,29.6,74,,5.8,5,100,2,E 
03-06-2020,26,33.2,28.7,80,4.5,5.9,7,50,2,C 
04-06-2020,26.8,33,29.5,72,0,4.7,3,200,1,C 
05-06-2020,26.2,32.6,29.7,74,,6.5,4,310,1,C 
06-06-2020,26.4,32.2,28.9,76,0.2,0.1,4,90,1,C 
07-06-2020,26,33.6,29.9,71,,3.2,3,120,1,C 
08-06-2020,26.4,33.2,29.5,75,0,6,5,340,1,C 
09-06-2020,27.2,31.4,28.7,80,0,4,3,70,1,C 
10-06-2020,26.6,34,29.4,78,8888,1.2,4,120,2,C 
11-06-2020,27.2,33.6,29.8,75,0,6.6,5,140,2,C 
12-06-2020,24.6,33.6,,,3.5,5,3,200,2,C 
13-06-2020,25.6,33,29.4,74,,6,5,350,2,C 
14-06-2020,26.6,34.8,30.3,72,,4.5,4,100,1,C 
15-06-2020,27,33,30.1,76,,6,4,60,1,C 
16-06-2020,27.6,,30,73,0,0,3,150,1,C 
17-06-2020,26.4,35,30.3,69,,5,3,130,1,C 
18-06-2020,27.4,33.8,29.9,74,,6.5,4,360,1,C 
19-06-2020,26,32,29.3,75,,4,5,320,1,C 
20-06-2020,26.2,34.2,29.3,74,5.8,0,4,50,1,C 
21-06-2020,26.4,32.6,28.9,77,0,6.3,4,280,1,C 
22-06-2020,26,31.6,28.8,77,,3.2,4,120,1,C 
23-06-2020,24.4,32.8,28,80,6.5,1,5,130,1,C 
24-06-2020,25.2,33,28.7,73,0,4,3,200,1,C 
25-06-2020,26.2,33.4,29.6,70,,5.5,4,120,1,C 
26-06-2020,26.4,32.6,28.9,78,0,6,5,230,1,C 
27-06-2020,26,33.6,29.3,75,,6.4,6,110,2,C 
28-06-2020,27,33.2,29.5,71,0,5.8,6,20,2,C 
29-06-2020,27,34.2,29.8,68,0,8,4,120,2,C 
30-06-2020,26.6,33.6,29.7,72,,6.5,5,100,1,C 
01-07-2020,26.6,34.2,29.8,70,0,6.5,3,150,1,C 
