Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-03-2020,25.6,31.8,27.7,89,12,0,6,320,2,NW
02-03-2020,25,31.8,28.7,81,63.6,0.2,9,250,2,C 
03-03-2020,26,31.6,28.8,79,8888,3.5,8,340,2,C 
04-03-2020,26.8,31,28.5,82,8888,8,5,320,1,C 
05-03-2020,,31,28,79,19.6,1,3,270,1,C 
06-03-2020,25,32,28.8,78,2,0,9,320,2,C 
07-03-2020,25.2,33,28.8,73,,8.5,9,330,2,C 
08-03-2020,26.4,32.2,28.6,77,,4.3,5,310,2,W 
09-03-2020,26,33.2,29.7,71,8888,4,5,270,3,W 
10-03-2020,27,34.6,30.1,71,,5.4,5,280,2,C 
11-03-2020,26,33,29.6,78,,7,8,330,2,C 
12-03-2020,25.6,30.6,27.6,85,7.7,5.7,4,330,1,C 
13-03-2020,,31.6,28.5,76,29.2,2.6,5,290,1,C 
14-03-2020,26.4,33.5,29.4,79,0,6.5,7,290,2,C 
15-03-2020,25,33,29.3,80,2,7,9,320,2,C 
16-03-2020,26.8,33,28.9,77,3.6,7.2,3,200,1,C 
17-03-2020,25.2,32.6,28.9,78,4.8,5,5,310,2,C 
18-03-2020,25.8,29,27.6,86,0.4,8,4,290,1,C 
19-03-2020,25.8,31.4,28.1,83,0.2,0,5,330,2,C 
20-03-2020,25.2,31.2,27.4,82,16,1.6,4,250,1,C 
21-03-2020,,32.4,28.1,81,10.8,2,3,130,1,C 
22-03-2020,25,31.2,27.2,84,17.6,4.5,3,290,1,C 
23-03-2020,25,31.8,28.2,81,22.5,3,3,310,1,C 
24-03-2020,26.4,32.2,28.8,78,0.4,3.5,9,320,2,C 
25-03-2020,25.6,32.4,28.4,81,0.3,7,4,330,1,C 
26-03-2020,25.8,31.8,28.8,78,,5,7,320,1,C 
27-03-2020,26.4,31.6,28.7,81,0.9,1.6,4,290,1,C 
28-03-2020,26,32,29,81,0,2,3,300,1,C 
29-03-2020,27.2,33,29.4,78,0,7,5,330,1,C 
30-03-2020,26.6,31.8,27.7,84,0,5.2,4,290,1,C 
31-03-2020,26,34.4,28.1,84,7.1,2,8,330,2,C 
01-04-2020,25.2,31.8,28.1,80,21.5,6.4,5,310,1,C 
