Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-05-2020,26.4,31.6,28.8,80,,0.5,4,250,2,E 
02-05-2020,25.6,30,27.1,85,8888,0,3,330,1,C 
03-05-2020,25.4,33.4,29.3,76,1,0,3,150,1,C 
04-05-2020,,30.6,28.7,79,,4,4,60,1,C 
05-05-2020,26.6,33.8,29.6,76,1.6,0.4,5,120,2,C 
06-05-2020,27,33.4,29.6,79,,6.4,3,80,1,C 
07-05-2020,27.2,34.2,30.2,72,0.2,5.6,5,310,1,C 
08-05-2020,27.2,33.8,30.2,73,,6,3,50,1,C 
09-05-2020,27,,28.4,82,,5,5,330,1,C 
10-05-2020,26,32.6,28.8,81,1,0,5,310,2,C 
11-05-2020,27,32.6,29.3,78,0,4.7,4,160,1,C 
12-05-2020,27.2,34.4,30.3,75,,3,3,350,1,C 
13-05-2020,27.4,33.6,29.9,79,3.8,6,5,270,1,C 
14-05-2020,26.6,34.2,29.4,76,,3.5,4,60,2,C 
15-05-2020,27.4,33,30,70,,6,3,90,1,C 
16-05-2020,26,34.6,30.2,70,,5,3,70,1,C 
17-05-2020,27.2,33.6,29.9,75,0,6.2,5,340,2,C 
18-05-2020,27,31.4,28.2,84,,5.8,5,100,1,C 
19-05-2020,25.2,33,28.7,76,12.8,0.2,3,120,1,C 
20-05-2020,,34,29.7,75,,3,5,280,2,C 
21-05-2020,24.8,33.4,28.9,80,29,6,4,270,1,C 
22-05-2020,26,33,29.7,81,0,1,5,100,2,C 
23-05-2020,26.6,33.8,29.6,73,0,5.9,5,130,1,C 
24-05-2020,26,35.6,31.2,65,,6,4,220,1,C 
25-05-2020,27.6,35,30.4,72,,6.5,4,270,1,C 
26-05-2020,26.2,34,29.9,73,1,5,8,260,2,C 
27-05-2020,27,33,29.5,74,0,5,5,60,1,C 
28-05-2020,26.2,33.2,29.8,76,,3.6,4,360,1,C 
29-05-2020,27.4,34,29.6,78,,2.2,4,120,1,C 
30-05-2020,,34.2,29.6,76,,3.4,5,140,1,C 
31-05-2020,27,33,29.4,73,0,6.6,3,200,1,C 
01-06-2020,26.2,33.4,30.3,73,0.6,4,4,60,2,C 
