Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-11-2020,25,32.8,27.7,81,5.5,5.8,5,320,2,C 
02-11-2020,25.8,32.4,28.6,75,7,3.5,5,240,2,C 
03-11-2020,26.2,32.2,28.8,74,0,2.2,5,300,1,C 
04-11-2020,26.4,32.6,28.6,74,8888,7.5,5,330,2,C 
05-11-2020,25,29.8,27.3,83,3,3,4,240,1,C 
06-11-2020,25.6,31.4,27.7,86,5,0,3,280,1,C 
07-11-2020,25.4,33.4,28.9,80,10,2.6,4,100,1,C 
08-11-2020,25.8,31.6,27.8,80,,6.5,5,320,2,C 
09-11-2020,25,33.8,29.1,71,1,5.2,5,50,1,C 
10-11-2020,26.4,32.2,29.5,77,0,8.7,9,340,2,C 
11-11-2020,26.8,33,29.9,72,0,5.2,4,340,1,C 
12-11-2020,27,34.4,29.8,74,3.6,7.5,5,20,2,C 
13-11-2020,25.6,33.4,30.4,76,,5,4,70,1,C 
14-11-2020,27.4,33.4,30.5,71,,7.5,8,320,2,C 
15-11-2020,27.6,34.6,30.7,68,0,8.5,5,130,1,C 
16-11-2020,27.6,35,29.7,74,0,7.6,6,190,2,C 
17-11-2020,26,32.2,29.3,78,,7.3,6,330,2,C 
18-11-2020,26.6,32.8,29.3,76,,4.5,5,340,1,C 
19-11-2020,26.8,33.2,30.2,72,8888,3,4,300,1,C 
20-11-2020,28,32.6,29.7,77,0,7,4,130,1,C 
21-11-2020,26.6,32.4,29.2,76,8888,3.8,5,320,1,C 
22-11-2020,26.8,31.8,28.5,77,0,5.6,4,280,1,C 
23-11-2020,,30.6,28,81,0,2.7,5,290,1,C 
24-11-2020,25.6,34.4,28.1,77,1,0,4,200,1,C 
25-11-2020,25.4,33.8,28.3,78,15,3,6,320,1,C 
26-11-2020,25.6,32.6,28.7,77,26,6.2,3,290,1,C 
27-11-2020,26.2,35.2,29.4,70,0,5.5,6,280,2,C 
28-11-2020,25,32.6,28.5,79,9,3.7,3,30,1,C 
29-11-2020,26,32.8,28.4,74,0.2,2.2,9,250,4,W 
30-11-2020,25.2,32,27.8,76,1,1.5,6,260,2,C 
01-12-2020,26.2,34,29.4,70,8888,1,7,250,2,C 
