Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-10-2020,26,34.6,30.3,70,,9.7,7,70,2,C 
02-10-2020,27.6,33.2,29.4,72,0,9,5,300,2,C 
03-10-2020,27,30.8,27.8,78,0,6,5,80,1,C 
04-10-2020,25,32.4,28.4,74,12.5,1.9,8,310,3,NW
05-10-2020,24.2,33,28.8,68,17.3,6.2,4,340,2,C 
06-10-2020,25.8,33,28.8,67,,8,4,20,1,C 
07-10-2020,25.8,33.6,29.7,68,0,8,5,180,1,C 
08-10-2020,25,32.4,29.3,71,,9.8,4,340,2,C 
09-10-2020,25,31.6,28.7,77,8,4,7,320,2,C 
10-10-2020,26.6,32.2,28.8,75,0,4.7,4,300,1,C 
11-10-2020,25.6,32,28.5,77,6.6,2.2,4,290,1,C 
12-10-2020,25.6,33.2,29.7,68,,3.5,4,340,1,C 
13-10-2020,26.6,32.6,29.5,70,,5,7,320,2,C 
14-10-2020,27.4,33.2,29.8,70,0,4.6,5,300,2,C 
15-10-2020,27.2,33.6,30,67,0,8,5,80,1,C 
16-10-2020,27,33.6,28.4,75,,7.8,5,340,1,C 
17-10-2020,24.4,32,28.7,75,48.5,4,7,330,2,C 
18-10-2020,26.6,32.2,28.8,75,0,6,6,310,1,C 
19-10-2020,26.8,32.6,28.6,79,0,5.5,7,330,2,C 
20-10-2020,25,32.8,28.6,78,10.5,4.4,5,360,2,C 
21-10-2020,25.4,32,27.3,82,24.6,7.5,8,320,2,C 
22-10-2020,24,33,28.8,76,57.6,4,4,200,2,W 
23-10-2020,26.4,33.6,29.8,68,0,5,4,260,1,C 
24-10-2020,26.4,32.6,29.2,72,,3.5,5,100,2,C 
25-10-2020,25.6,32,28.2,78,,8.8,6,330,1,C 
26-10-2020,26,32.2,27.4,82,0.8,5,4,340,1,C 
27-10-2020,25.2,31,27,82,5.4,3,7,320,2,C 
28-10-2020,24.6,32.2,28.3,80,15,0,7,320,2,C 
29-10-2020,25.6,33.4,29.4,74,1.5,6.8,4,20,1,C 
30-10-2020,27,32.4,29.1,76,,6,4,120,1,C 
31-10-2020,26.1,32.6,28.1,77,0,3.4,7,330,2,C 
01-11-2020,25,32.8,27.7,81,5.5,5.8,5,320,2,C 
