Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-09-2020,26.6,35,29.9,61,0,7.5,5,170,1,C 
02-09-2020,25,32.2,29.1,70,,7.2,6,340,2,W 
03-09-2020,26.2,32.6,28.9,71,1.4,4.7,4,330,1,C 
04-09-2020,27.2,34.8,30.2,68,,4.5,8,120,2,C 
05-09-2020,26.8,32.4,29.6,74,,8.3,4,320,1,C 
06-09-2020,26.4,32.6,29,71,0,5.6,3,330,1,C 
07-09-2020,26.8,34,29.7,66,,5.5,5,320,2,C 
08-09-2020,27.4,33.6,30,64,0,8.7,3,30,1,C 
09-09-2020,27.8,34,30.3,62,0,8,6,80,2,C 
10-09-2020,26,33,29.5,71,,7,6,330,2,C 
11-09-2020,27,32.4,29.3,70,,4.5,7,320,1,C 
12-09-2020,27,33,29.2,72,0,2.2,3,290,1,C 
13-09-2020,26.8,33.6,29.2,67,0,6.5,3,40,2,C 
14-09-2020,27,32,28.9,71,8888,6.2,7,90,4,E 
15-09-2020,,,,,,,,,,
16-09-2020,,,,,,,,,,
17-09-2020,,,,,,,,,,
18-09-2020,,,,,,,,,,
19-09-2020,,,,,,,,,,
20-09-2020,,,,,,,,,,
21-09-2020,,,,,,,,,,
22-09-2020,,,,,,,,,,
23-09-2020,,,,,,,,,,
24-09-2020,,,,,,,,,,
25-09-2020,,,,,,,,,,
26-09-2020,,,,,,,,,,
27-09-2020,,,,,,,,,,
28-09-2020,25.6,34.4,29.4,70,2.5,4.5,4,80,2,C 
29-09-2020,26.6,32.8,29.7,64,0,7.6,6,330,2,C 
30-09-2020,26.6,34.8,30.3,64,,7.2,5,90,2,C 
01-10-2020,26,34.6,30.3,70,,9.7,7,70,2,C 
