Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-08-2021,25.6,32,28.3,78,3.3,3,5,340,2,C 
02-08-2021,25.8,32,28.6,76,0,5.8,8,340,2,C 
03-08-2021,,32.4,28.7,75,,4.9,4,340,2,C 
04-08-2021,25.8,32.4,29.1,70,,6,8,320,2,SE
05-08-2021,26.8,31,27.4,81,0,6.3,5,300,1,C 
06-08-2021,24.6,33,28.3,72,6.2,2.5,6,70,2,C 
07-08-2021,25,33.4,29,74,,6.5,4,80,2,E 
08-08-2021,26.2,33.4,29.3,74,,7.2,5,70,2,E 
09-08-2021,26.8,33,29.6,75,0,5.8,5,60,2,C 
10-08-2021,24.6,30.8,27.1,84,66.5,7.4,4,360,1,C 
11-08-2021,24.6,33.2,28.7,74,8888,0.4,4,330,2,C 
12-08-2021,25.2,33.8,29.1,64,,6.5,5,30,2,C 
13-08-2021,25.6,30.4,28.2,76,0,7,6,330,1,C 
14-08-2021,26.2,33.6,29.1,72,0,2,5,250,2,C 
15-08-2021,25.8,34.4,29.6,68,,6.3,5,80,2,C 
16-08-2021,26.4,33.6,29.4,67,,6.4,5,80,2,C 
17-08-2021,27,32.6,29.3,71,0,7.5,6,350,1,C 
18-08-2021,27,32,28.8,73,0,5.2,7,300,2,C 
19-08-2021,25,32.4,28.2,75,,4,5,340,2,C 
20-08-2021,25.4,32.4,28.6,72,,4.2,7,350,2,C 
21-08-2021,26,30.8,27.6,77,3.7,4.5,7,320,2,C 
22-08-2021,25.6,33.4,28.8,74,,1.5,4,90,1,C 
23-08-2021,25.6,31.8,28.8,77,,3.4,6,340,1,C 
24-08-2021,26.8,32.2,29.1,72,,6.5,8,330,2,C 
25-08-2021,26,31.8,28.5,68,8888,2.1,4,330,1,C 
26-08-2021,26,33,28.9,66,0,5.7,8,350,2,C 
27-08-2021,25.6,33.2,28.6,71,,7.5,4,340,1,C 
28-08-2021,26.2,33.4,29.8,63,,7,3,140,1,C 
29-08-2021,27.2,32,28.6,72,0,6.5,4,340,1,C 
30-08-2021,25.4,31.6,28.7,77,,0.5,7,320,2,C 
31-08-2021,26.8,32.6,29.3,79,,2,4,320,1,C 
01-09-2021,26.2,34,29.4,70,,3,6,20,1,C 
