Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-04-2021,25,30.4,27.8,76,4,7,3,260,1,W 
02-04-2021,25.8,32.2,29,73,,0.2,7,320,2,C 
03-04-2021,25,29.8,26.9,88,73.4,8,2,130,1,C 
04-04-2021,25.2,30.2,27.7,84,1.6,0,4,290,1,C 
05-04-2021,25,32,28.5,78,,0.4,4,320,2,C 
06-04-2021,26,33.4,29,71,,1.5,10,250,5,W 
07-04-2021,25.4,30.4,27.8,76,0.8,5.6,9,260,2,W 
08-04-2021,25.6,33.4,29.1,75,0.9,0.8,6,280,1,C 
09-04-2021,25.6,31.8,28.6,78,,6.7,6,330,2,C 
10-04-2021,24.4,31.6,27.6,81,6,6.5,5,320,1,C 
11-04-2021,25.2,31.6,28.1,77,0,3.3,3,300,1,C 
12-04-2021,26,33.6,28.7,74,1.2,3.5,7,290,2,C 
13-04-2021,25,32.8,28,80,25.5,5.8,5,310,1,C 
14-04-2021,25.6,31.8,28,81,8888,6,7,340,1,C 
15-04-2021,25,31.8,27.3,82,3.4,5.6,3,320,1,C 
16-04-2021,25.4,31.8,28.3,78,2.7,5.5,5,230,1,C 
17-04-2021,26,31.4,27.6,84,,6.8,5,320,1,C 
18-04-2021,25.8,31.8,28.6,78,27.7,2.5,5,320,1,C 
19-04-2021,26.4,32,28.7,76,0,4.2,3,320,1,C 
20-04-2021,26.2,32.8,29.1,73,0,6.3,4,300,1,C 
21-04-2021,25.6,33.2,29.3,72,,4,6,340,1,C 
22-04-2021,26.4,33,29.3,68,,7,6,320,2,C 
23-04-2021,26.8,32.2,28.2,76,0,7,4,280,1,C 
24-04-2021,25.4,32.6,28.5,74,10.5,7,7,290,2,C 
25-04-2021,25,32.8,29.3,73,,6.8,3,10,1,C 
26-04-2021,26.8,34.2,30.2,70,,6.8,8,340,2,C 
27-04-2021,27.2,34.2,29.9,73,0,6.5,3,120,1,C 
28-04-2021,26.4,32.2,28.8,78,0,7,5,340,1,C 
29-04-2021,25.4,33.4,29,76,56.2,3,5,270,1,C 
30-04-2021,25.2,32,28.6,80,,6.8,4,340,1,C 
01-05-2021,26.6,33.4,29.7,76,0,1.8,3,150,1,C 
