Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-12-2021,25,34.6,29.7,66,,0.7,7,240,2,W 
02-12-2021,27.2,35.2,31,64,0,2.4,4,280,3,W 
03-12-2021,27,32.4,29.3,74,,6.5,5,320,2,W 
04-12-2021,27.8,29,27.4,78,0,1,4,300,1,C 
05-12-2021,25,28.2,26.6,82,2.5,0,3,270,0,C 
06-12-2021,24.4,32,27.5,80,11.9,0,5,320,1,C 
07-12-2021,24,29,26.4,86,65.6,2.5,3,290,1,C 
08-12-2021,24.4,32.6,28.5,80,1.5,0,5,320,1,C 
09-12-2021,25,31,27.5,87,30.5,5,5,330,2,C 
10-12-2021,24.8,31.8,28.4,81,0.6,2.5,5,320,2,C 
11-12-2021,25,30.6,27.3,84,1.6,5.7,3,280,2,C 
12-12-2021,,32.8,28.9,76,8888,4.2,7,250,2,W 
13-12-2021,25,32,29,76,,4,5,340,2,C 
14-12-2021,26.8,31.6,28.6,79,,7,8,340,2,C 
15-12-2021,26.8,31.4,28.7,79,7.4,0.3,4,250,1,C 
16-12-2021,26.8,32.6,28.3,81,8888,2,5,330,1,C 
17-12-2021,25.4,32.4,28.4,79,8888,2.4,5,350,1,C 
18-12-2021,25.8,33.6,28.5,76,0.4,5,6,120,2,C 
19-12-2021,26,32.6,29.1,80,2.4,5.2,3,310,1,C 
20-12-2021,26.6,33,27.9,84,0,6,4,320,1,C 
21-12-2021,,29.8,26.8,88,1.5,1,5,320,1,C 
22-12-2021,24.6,32.6,28.2,80,6.8,0.6,4,330,1,C 
23-12-2021,25.6,31.6,26.2,88,0,4.7,3,310,1,C 
24-12-2021,24.6,32.6,28,78,19.7,2,5,320,1,C 
25-12-2021,25,31.4,28.1,81,,3.6,3,290,1,C 
26-12-2021,24,31.4,27.3,78,9.4,3,3,320,1,C 
27-12-2021,24.2,30.8,28.2,77,,5,7,330,2,C 
28-12-2021,26.2,31.6,28.2,82,8888,7.2,8,340,2,C 
29-12-2021,24.6,30.8,27.5,84,9,3.8,4,320,1,C 
30-12-2021,26,30.2,28,84,0,2,5,320,1,C 
31-12-2021,25.8,33.6,29.3,77,0.8,0,4,260,1,C 
01-01-2022,25,32.4,28.9,75,0.5,4,3,260,1,C 
