Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-02-2021,24.8,30.4,27.1,82,0.4,0.2,7,340,2,C 
02-02-2021,25.4,29.8,27.4,83,16.4,4,5,340,2,C 
03-02-2021,24.2,29.4,26.5,89,76.2,6.5,7,290,1,C 
04-02-2021,24.2,29.8,26.5,87,18,0.3,10,320,3,C 
05-02-2021,25,29.6,27,85,21,6.4,7,280,3,NW
06-02-2021,24.6,30,28.2,80,39.4,4,5,300,2,NW
07-02-2021,25.8,30.2,27.8,82,67.8,7.6,8,350,3,C 
08-02-2021,25,30.2,28,83,9,4.4,8,330,2,C 
09-02-2021,24.2,30.2,27.2,87,16.5,3.5,4,270,1,C 
10-02-2021,25.4,30.8,28.1,80,1.4,5.8,7,200,2,C 
11-02-2021,25.8,32,27.6,81,8888,2.8,5,290,2,C 
12-02-2021,25.4,29.6,27.4,82,4.2,4,5,330,2,NW
13-02-2021,25.2,31,27.9,79,0.8,3,6,340,2,C 
14-02-2021,26,29.2,27.3,88,22.3,4.2,3,270,1,C 
15-02-2021,25.2,30.6,27.4,86,11.8,1.2,7,340,2,C 
16-02-2021,24.2,28.2,25.5,95,59,4.1,3,330,1,C 
17-02-2021,23.8,29,26,85,72.8,0,5,340,1,C 
18-02-2021,24.4,30,25.8,86,0,0,5,310,2,C 
19-02-2021,24.5,29.4,26.6,82,94.1,2,7,340,2,C 
20-02-2021,,30,27.9,78,27,2.6,7,320,3,NW
21-02-2021,24.8,30.2,27.2,82,16.4,3.5,9,330,2,C 
22-02-2021,25.4,30.4,27.9,78,0,8.4,6,300,2,NW
23-02-2021,26.4,31,27.9,80,0,5.5,10,340,3,C 
24-02-2021,24,32.4,27.3,77,0.3,5.4,8,300,2,C 
25-02-2021,24.6,30,27.3,85,11.8,3.2,10,320,3,NW
26-02-2021,24,29.6,26.8,86,13.9,3.4,3,310,1,C 
27-02-2021,25,31.6,28.1,82,3.9,1.2,5,320,1,C 
28-02-2021,26,34,29.5,70,,5,6,270,2,W 
01-03-2021,26.2,33.4,29.3,72,0.2,3.5,8,330,3,C 
