Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2021,25,30,27,80,13.8,0,4,310,1,C 
02-01-2021,25,31.2,27.6,78,8888,2.5,6,290,2,C 
03-01-2021,25,32.4,27.9,77,,3.5,8,320,2,C 
04-01-2021,25.6,32.6,28.8,75,9.4,2.7,7,260,2,C 
05-01-2021,26.2,29.6,28.4,76,0,5.2,5,310,1,C 
06-01-2021,24,30.6,27.2,85,8.2,2.6,10,260,1,C 
07-01-2021,24,29.8,26.8,84,40.5,,3,320,1,C 
08-01-2021,25,30.2,27.1,85,2,0,8,320,2,C 
09-01-2021,25.6,32,26.4,87,14.4,0.6,5,300,1,C 
10-01-2021,24.6,31,27.1,82,34.3,4,4,280,1,C 
11-01-2021,24.6,30.8,27.8,78,,0,5,300,2,NW
12-01-2021,25,30,27.3,82,,5,5,240,2,W 
13-01-2021,25.6,29,27.2,83,13.2,0.3,5,290,2,C 
14-01-2021,26,29.4,27.4,81,0.2,1,8,300,2,C 
15-01-2021,25,29.8,27.9,79,8888,0,5,300,2,C 
16-01-2021,25.6,34.2,29.2,70,,0.4,10,260,2,W 
17-01-2021,25.6,30.4,27.9,82,0,5.5,6,310,2,NW
18-01-2021,26.2,28.8,26.8,86,1.8,2.2,7,250,2,C 
19-01-2021,24,29.4,26.7,82,15.7,0,6,300,2,C 
20-01-2021,24.8,29.8,27.3,80,14,1.4,9,340,3,C 
21-01-2021,24.8,28.4,26.6,87,3.2,3.6,4,300,1,C 
22-01-2021,25.6,29.4,27,79,8.5,0.5,7,260,1,C 
23-01-2021,25.4,30.8,27.4,82,0,0.4,6,260,2,C 
24-01-2021,24,27.6,25.1,94,16.5,1.4,3,290,1,C 
25-01-2021,24,30.4,27.6,80,43.8,0,4,330,1,C 
26-01-2021,,31.8,27.4,83,0,6,5,280,2,C 
27-01-2021,23.4,30,25.9,86,7,3.1,6,260,2,W 
28-01-2021,24,28.8,25.7,87,1.2,0.2,6,210,2,C 
29-01-2021,24,29.4,26.2,87,38.4,0.3,4,290,1,C 
30-01-2021,24.2,29.8,26.6,86,26.2,2.8,5,290,2,C 
31-01-2021,24.2,29.2,26.6,87,20.5,1.3,4,300,1,C 
01-02-2021,24.8,30.4,27.1,82,0.4,0.2,7,340,2,C 
