Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-07-2021,26,31,26.3,86,1,2,4,330,1,C 
02-07-2021,24,32.4,28.3,75,12,1,4,130,1,C 
03-07-2021,26,33.8,29,73,0,6.8,3,120,1,C 
04-07-2021,25.6,33.8,29,74,,6.5,4,250,1,C 
05-07-2021,26.2,32.4,28.6,76,0,6.6,4,300,1,C 
06-07-2021,25,32.2,28.6,74,,5.5,3,300,1,C 
07-07-2021,26,31.8,28.5,70,,6.5,5,320,1,C 
08-07-2021,25.2,33.2,28.5,69,0,4.6,3,90,1,C 
09-07-2021,25.4,34,29.3,71,0,4,7,320,1,C 
10-07-2021,25,32.6,29.6,73,,5.8,3,110,2,E 
11-07-2021,26.6,32,29,77,,3,6,110,2,C 
12-07-2021,26.6,33.4,29.3,69,0,5.2,4,130,1,C 
13-07-2021,24,31,27.5,78,0,6.6,7,290,2,C 
14-07-2021,25,31.6,28.1,75,,0,5,350,1,C 
15-07-2021,25.6,32,28.3,75,8888,1.4,7,320,1,C 
16-07-2021,25.8,33,28.7,68,0,4.6,3,140,1,C 
17-07-2021,26,34,29.2,69,0,5.5,4,330,1,C 
18-07-2021,24,32.6,28.6,72,,6.5,5,330,1,C 
19-07-2021,26.2,31.8,29,75,,6.5,3,110,0,C 
20-07-2021,26.4,32.4,28.4,79,8888,1.2,4,340,1,C 
21-07-2021,26.4,32.6,28.7,77,0,5,5,320,2,C 
22-07-2021,,32,28.3,78,8888,4.2,4,330,1,C 
23-07-2021,25,31,27.1,82,17.8,0.4,7,330,2,C 
24-07-2021,25.4,31,27.8,81,2.5,1.8,4,350,1,C 
25-07-2021,24.6,32.6,27.7,79,2.5,2.6,5,310,1,C 
26-07-2021,24,33.2,28.3,69,,6.5,4,100,1,C 
27-07-2021,24.6,33.6,28.4,66,,6.5,5,20,1,C 
28-07-2021,25,33.6,28.5,64,0,6.9,4,90,1,C 
29-07-2021,25.4,32.8,28.6,67,0,6.5,5,290,2,C 
30-07-2021,25,33,29,72,,5.7,5,350,1,C 
31-07-2021,26.6,31.6,29,70,,7,6,330,2,C 
01-08-2021,25.6,32,28.3,78,3.3,3,5,340,2,C 
