Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-06-2021,26.8,32.6,28.8,81,,,5,10,1,C 
02-06-2021,26.8,33,29,80,0.2,5.5,5,350,1,C 
03-06-2021,27,32.8,28.9,83,0,6.7,5,290,1,C 
04-06-2021,25.8,34.2,30.2,77,6.7,1.8,4,110,1,C 
05-06-2021,26.8,33,29.3,78,8888,5,5,290,1,C 
06-06-2021,27.4,32.8,29.5,78,0,5.6,5,330,1,C 
07-06-2021,25.2,32.5,28.1,80,31.4,6.5,5,320,1,C 
08-06-2021,26,32.6,29.1,76,,5,4,20,2,C 
09-06-2021,26.4,32.4,29.1,77,2.2,6,5,10,1,C 
10-06-2021,26.8,33,29.4,76,0,4.7,5,330,2,C 
11-06-2021,26.8,32,28.7,79,0,4.4,5,350,1,C 
12-06-2021,25,33.8,28.9,78,16,2.5,4,40,1,C 
13-06-2021,25.4,33.6,29.5,76,1,6,5,150,2,C 
14-06-2021,27,31.8,28.7,78,8888,6.3,3,100,1,C 
15-06-2021,26.2,32.5,28.1,78,0.4,2.5,5,290,2,C 
16-06-2021,25,31.2,28.1,80,,2,3,80,1,C 
17-06-2021,25.4,30.8,27.8,83,1.4,2,4,310,1,C 
18-06-2021,26,30.4,27.4,84,0.2,0.3,3,130,1,C 
19-06-2021,25.6,27.6,26,92,0.9,1.2,5,320,1,C 
20-06-2021,24.2,30.8,27,83,16.7,0,5,340,1,C 
21-06-2021,,32,26.5,85,1.6,3,7,260,2,C 
22-06-2021,25,31.2,27.6,79,8888,3.7,3,340,1,C 
23-06-2021,25.2,30.8,27.8,81,0,5.5,5,320,1,C 
24-06-2021,25,30.2,27.3,81,,0,5,320,1,C 
25-06-2021,25.4,33,28.5,78,8888,1.2,4,330,1,C 
26-06-2021,25.8,32.6,29,78,0,5.4,4,330,1,C 
27-06-2021,26.4,33,28.9,78,0,4.5,6,320,1,C 
28-06-2021,25,32.6,28.4,78,8888,4,4,330,1,C 
29-06-2021,,32.2,28.5,74,,1,7,330,2,C 
30-06-2021,26,30.2,27.5,82,0.4,4.2,4,330,1,C 
01-07-2021,26,31,26.3,86,1,2,4,330,1,C 
