Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-03-2021,26.2,33.4,29.3,72,0.2,3.5,8,330,3,C 
02-03-2021,24.8,30.8,27.3,82,20.4,5.8,3,310,1,C 
03-03-2021,24.6,31.4,27.7,82,35.2,4.5,7,260,1,C 
04-03-2021,25,31.6,28.3,78,1.3,5.9,4,310,1,C 
05-03-2021,25.4,31.6,27.4,82,3,3,10,320,2,C 
06-03-2021,25.8,30.4,26.8,86,0.6,4.2,3,300,1,C 
07-03-2021,24.2,30.6,27.1,85,67.2,5,8,330,2,C 
08-03-2021,,31.4,27,80,2,0.2,5,250,2,W 
09-03-2021,24.8,30.4,27.3,80,3.4,2,5,330,1,C 
10-03-2021,25,30.6,27.4,83,40.6,3.5,9,330,2,C 
11-03-2021,23,30.2,26,82,35.1,5.6,5,290,1,C 
12-03-2021,23.4,29.6,27.4,83,1,3.3,6,340,2,C 
13-03-2021,25.8,32.8,28.7,74,0.1,2.1,6,330,2,C 
14-03-2021,25,30.8,26.9,79,2.6,5,4,250,1,C 
15-03-2021,25,30.2,27.6,84,5.2,4.8,4,250,1,C 
16-03-2021,25,32.2,27.8,82,,0,5,310,1,C 
17-03-2021,24.8,32,28.1,76,13.6,4,8,320,2,C 
18-03-2021,26.4,32,29,74,0,8.2,4,300,1,C 
19-03-2021,27,31.6,28.9,76,0,7,7,290,2,C 
20-03-2021,25,31.8,27.8,80,,4.6,5,330,3,W 
21-03-2021,26,32.8,28.4,79,4,3.6,6,330,2,NW
22-03-2021,26.2,32.8,29.3,73,,8,5,320,2,C 
23-03-2021,26.8,33.8,29.1,75,0,8,8,280,2,C 
24-03-2021,26.4,33.2,28.9,72,,8,6,270,3,W 
25-03-2021,27,31.4,28.8,72,,5,5,320,1,C 
26-03-2021,26,32.6,28.8,76,0,5,7,320,2,C 
27-03-2021,26.8,32,28.3,82,0,8.4,5,290,2,C 
28-03-2021,25,32.8,28.8,79,4.5,2.3,5,310,1,C 
29-03-2021,26.4,32,28.3,82,,8.5,8,330,2,C 
30-03-2021,27,29.4,27.8,86,3.5,1.3,2,70,1,C 
31-03-2021,26,33,28.5,79,0.6,1,6,290,2,C 
01-04-2021,25,30.4,27.8,76,4,7,3,260,1,W 
