Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-05-2021,26.6,33.4,29.7,76,0,1.8,3,150,1,C 
02-05-2021,27.2,33.6,29.8,76,0,6,5,330,1,C 
03-05-2021,26,33,29.7,76,,5.8,4,140,2,E 
04-05-2021,26.6,32.8,29.5,72,,4,5,330,1,C 
05-05-2021,27.4,32.4,29.5,78,0,2.7,5,330,1,C 
06-05-2021,26,32.4,27.6,81,36.8,4,6,250,2,C 
07-05-2021,25,32.8,28.8,80,4,2.5,6,350,1,C 
08-05-2021,25.8,33.2,29.2,78,0.4,6,7,330,2,C 
09-05-2021,24.6,32.4,28.4,80,47,4,4,300,1,C 
10-05-2021,25.4,33.6,29.7,76,3.5,6.6,5,280,1,C 
11-05-2021,25.6,34.8,29.9,73,,6.5,4,340,2,C 
12-05-2021,27.2,33.8,30.1,74,,6.5,5,150,1,C 
13-05-2021,27.2,33.6,29.6,76,0,6.6,3,350,2,C 
14-05-2021,26.8,34.4,29.8,71,,5.6,5,250,2,C 
15-05-2021,26,33.4,29.8,72,,5.5,3,70,1,C 
16-05-2021,27.6,33.4,30.1,72,0,6.8,3,300,1,C 
17-05-2021,28,33,29.8,75,0,6.4,7,320,2,C 
18-05-2021,23.4,31.6,27.3,82,92.2,2.4,4,290,1,C 
19-05-2021,,32.8,29.1,77,,2.6,5,340,1,C 
20-05-2021,26.6,33.2,29.6,74,,4.2,5,320,2,NW
21-05-2021,27,33.4,29.1,77,0.2,5,5,320,1,C 
22-05-2021,27,32.6,28.9,76,0,6.5,5,320,1,C 
23-05-2021,25.6,32.8,29.1,76,8888,2.7,5,320,1,C 
24-05-2021,26.6,32.6,29.5,77,,,5,300,1,C 
25-05-2021,25,33,28.5,77,10,2,3,320,1,C 
26-05-2021,25.6,33.4,29.1,76,0,5.2,6,120,2,C 
27-05-2021,26.8,33.6,29.7,73,0,6.4,5,90,1,C 
28-05-2021,27,34,29.8,74,0,6.7,3,50,2,C 
29-05-2021,26.8,30,27.5,83,,6.5,3,320,1,C 
30-05-2021,25.2,33,28.5,80,9.5,0.4,4,320,1,C 
31-05-2021,26,32.4,29.3,79,,6,3,350,1,C 
01-06-2021,26.8,32.6,28.8,81,,,5,10,1,C 
