Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-11-2021,26.4,31.4,27.7,84,8888,4.5,4,350,1,C 
02-11-2021,25.8,32.6,28.6,76,2,1.6,5,260,1,C 
03-11-2021,25,32.6,28.5,78,,6,4,320,1,C 
04-11-2021,26.4,32.6,29,77,0.6,5.2,5,330,2,C 
05-11-2021,26.6,29.8,27.9,82,8888,5.8,2,290,0,C 
06-11-2021,26.2,32.8,29.4,76,2,1.4,6,330,2,C 
07-11-2021,26,32.4,27.6,84,,7.8,7,320,2,C 
08-11-2021,25.2,32.2,28.3,79,19.2,1.8,3,320,1,C 
09-11-2021,25.6,32,29.4,78,,4.5,4,320,1,C 
10-11-2021,26.4,33.4,28.6,76,1.9,3.4,6,290,1,C 
11-11-2021,25,31.6,28.3,77,2,1.1,6,260,2,W 
12-11-2021,26.6,33.6,28.5,74,0,0,3,320,1,C 
13-11-2021,24.8,31.6,27.5,85,26.4,1.5,3,200,1,C 
14-11-2021,25.4,34.6,29.4,76,30.3,1.7,5,250,1,C 
15-11-2021,26,29.6,27.7,80,1,3,4,270,2,W 
16-11-2021,26.6,33.6,29.8,67,8888,0,4,270,1,C 
17-11-2021,26.4,34,30,71,2.4,3,4,250,1,C 
18-11-2021,27,33.8,29.8,71,,6.5,4,330,1,C 
19-11-2021,25,30.6,27.9,74,,3,5,250,2,W 
20-11-2021,26.4,31.8,27.9,78,8888,0.2,7,330,2,C 
21-11-2021,25.2,32.4,29.4,73,7,2.4,5,240,2,SW
22-11-2021,27.2,32.8,29.3,74,0,6,5,250,2,C 
23-11-2021,25,32.4,27.9,76,8888,3,8,290,4,W 
24-11-2021,25.6,33.8,29.3,62,8888,2.6,4,320,2,W 
25-11-2021,26.8,33.8,29.1,73,0,1.2,6,350,1,C 
26-11-2021,25.6,34,28.2,80,8888,2.2,5,330,2,C 
27-11-2021,25.2,32.6,27.6,78,34,4,4,270,2,W 
28-11-2021,24,32.8,28.1,74,5,4.5,8,260,4,W 
29-11-2021,25.6,32.4,28.4,76,0.3,1.2,4,270,2,W 
30-11-2021,26.6,31.8,28.9,75,0,5,6,340,1,C 
01-12-2021,25,34.6,29.7,66,,0.7,7,240,2,W 
