Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-10-2021,26.2,33.6,29.1,75,1.5,8,5,100,1,C 
02-10-2021,26,31.4,28.9,75,,3.2,3,20,1,C 
03-10-2021,25.6,33.2,29.1,69,,3,7,290,2,C 
04-10-2021,26.6,32.4,28.4,75,0,7.7,6,330,1,C 
05-10-2021,25.4,33,29,66,16.2,4.6,6,330,1,C 
06-10-2021,,33.2,28.7,77,,6.8,4,330,1,C 
07-10-2021,25.6,32.4,29.3,66,,5.5,8,330,2,C 
08-10-2021,25.8,31.6,28.7,72,,6.4,5,320,1,C 
09-10-2021,26.6,33.8,29.6,70,0,5.6,7,320,2,C 
10-10-2021,26,33.4,29.8,72,,9.8,5,330,2,C 
11-10-2021,26.8,33.6,29.3,70,,7,9,320,2,C 
12-10-2021,26.6,33,29.5,68,0,5.8,5,310,1,C 
13-10-2021,27.4,33.4,30.1,68,0,8,5,330,1,C 
14-10-2021,25.8,33.2,29.5,72,,7,8,330,2,C 
15-10-2021,27.8,34.2,30.2,71,0,2.7,5,330,1,C 
16-10-2021,26.8,33.6,30.1,70,,5,5,340,2,C 
17-10-2021,26,33.8,30.4,72,,5.7,3,310,1,C 
18-10-2021,25.2,28.4,26,90,55.3,8,2,110,0,C 
19-10-2021,24.6,33.2,27.7,77,20.7,0,5,330,1,C 
20-10-2021,26,32.6,29,74,0,2.6,4,330,1,C 
21-10-2021,26,32,28.5,83,46.5,5.8,5,320,1,C 
22-10-2021,26,32.4,29.1,77,4,4,5,320,1,C 
23-10-2021,26.4,32.8,29.3,72,,3.5,5,310,1,C 
24-10-2021,27,33.2,30,73,0,3.6,4,330,1,C 
25-10-2021,27.6,33.2,29,75,0,8,4,260,1,C 
26-10-2021,26,33.8,29.8,72,8888,3.2,5,310,1,C 
27-10-2021,26.4,32.8,28.7,80,1.2,6,7,330,2,C 
28-10-2021,25.4,31.4,27.3,86,28.1,3.4,4,30,1,C 
29-10-2021,25,32.8,28.6,74,7.8,2,5,320,2,C 
30-10-2021,26,33,29.3,73,,8,6,340,2,C 
31-10-2021,26.6,32.8,28.9,77,0.8,7.2,4,340,1,C 
01-11-2021,26.4,31.4,27.7,84,8888,4.5,4,350,1,C 
