Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-09-2021,26.2,34,29.4,70,,3,6,20,1,C 
02-09-2021,26.8,32.2,28.9,71,0,7,4,320,1,C 
03-09-2021,26.8,32.4,29,70,0,6,4,330,1,C 
04-09-2021,25,32,28.7,70,,4.4,4,20,1,C 
05-09-2021,26.4,33.2,29.6,67,,7,7,340,2,C 
06-09-2021,27.2,33.4,29.6,72,0,5.2,5,120,2,C 
07-09-2021,27,31.4,28.8,74,0,4.3,4,340,1,C 
08-09-2021,25,32,27.9,78,6.9,4,7,320,2,C 
09-09-2021,23.6,32.4,27.8,74,22,7.2,7,330,1,C 
10-09-2021,24.8,32.8,28.5,64,0,8.7,3,10,1,C 
11-09-2021,26,32.4,29.1,70,0,8,3,320,1,C 
12-09-2021,27.2,31.2,28.8,76,0,5,3,80,1,C 
13-09-2021,26.4,33.2,29.3,73,,1.6,5,150,2,C 
14-09-2021,24.8,27.6,25.8,89,36.7,5.5,4,260,1,C 
15-09-2021,24,31.8,28,82,5.7,0,7,340,2,C 
16-09-2021,25,33.6,29.2,77,,5.6,5,350,2,C 
17-09-2021,26.6,34.2,29.7,72,0,9.7,4,140,2,C 
18-09-2021,26.8,35,30.5,63,,8,3,120,1,C 
19-09-2021,27.8,32.4,28.6,76,0,8,5,300,1,C 
20-09-2021,26,31.8,28.8,72,17,5.6,5,330,1,C 
21-09-2021,25,32.6,28.8,71,,,5,330,1,C 
22-09-2021,26.4,33.8,29.5,69,,6,4,50,1,C 
23-09-2021,27,33.8,29.7,69,0,8,6,100,2,C 
24-09-2021,25.6,34,29.9,69,,6.9,4,60,2,E 
25-09-2021,27,33.6,29.9,73,,8,5,130,2,E 
26-09-2021,27.2,33,29.7,74,0,9.8,5,110,2,C 
27-09-2021,26.2,32.6,29.1,79,17.6,8,4,300,1,C 
28-09-2021,25,33.2,29,80,7.5,7,5,330,2,C 
29-09-2021,26.6,32.6,29.4,74,,6.5,5,320,2,C 
30-09-2021,27.4,32.4,29.6,72,0,8,6,330,1,C 
01-10-2021,26.2,33.6,29.1,75,1.5,8,5,100,1,C 
